YP_ID;Yelp_ID;Match
22;280;TRUE
3986;1131;TRUE
3996;1596;TRUE
17322;5231;TRUE
17318;5871;TRUE
17305;5112;TRUE
4014;1005;TRUE
4020;1082;TRUE
17299;5964;TRUE
4033;1245;TRUE
4067;1161;TRUE
4079;1147;TRUE
17250;5827;TRUE
17247;5777;TRUE
17243;5804;TRUE
4101;1449;TRUE
17240;5921;TRUE
4124;1945;TRUE
4136;1914;TRUE
17231;5374;TRUE
17215;5910;TRUE
17211;5027;TRUE
4184;1840;TRUE
3991;1577;TRUE
3984;1911;TRUE
17199;5625;TRUE
3977;1240;TRUE
3802;1487;TRUE
3805;1747;TRUE
3811;1509;TRUE
3813;1528;TRUE
3820;1145;TRUE
17397;5491;TRUE
3839;1734;TRUE
3841;1069;TRUE
17394;5466;TRUE
17391;5297;TRUE
17383;5907;TRUE
17377;5959;TRUE
3904;1208;TRUE
17374;5873;TRUE
17373;5947;TRUE
3929;1381;TRUE
3930;1685;TRUE
17360;5339;TRUE
4977;1078;TRUE
5975;1078;TRUE
3952;1406;TRUE
4199;1166;TRUE
4206;1935;TRUE
3798;1782;TRUE
17104;5652;TRUE
4429;1027;TRUE
4445;1229;TRUE
4462;1230;TRUE
4478;1035;TRUE
4488;1499;TRUE
5774;1499;TRUE
17098;5106;TRUE
17096;5057;TRUE
4500;1706;TRUE
4534;1390;TRUE
4549;1956;TRUE
4554;1655;TRUE
4565;1895;TRUE
17047;5675;TRUE
17035;5090;TRUE
4583;1723;TRUE
4587;1160;TRUE
4590;1318;TRUE
4593;1074;TRUE
17010;5372;TRUE
17004;5708;TRUE
4419;1690;TRUE
4415;1365;TRUE
4211;1062;TRUE
17111;5924;TRUE
4217;1686;TRUE
17194;5738;TRUE
4248;1098;TRUE
4251;1722;TRUE
4252;1132;TRUE
4277;1707;TRUE
17169;5813;TRUE
4334;1203;TRUE
4335;1548;TRUE
17158;5193;TRUE
4338;1790;TRUE
17147;5906;TRUE
17127;5648;TRUE
4355;1413;TRUE
4356;1051;TRUE
4358;1154;TRUE
4369;1766;TRUE
17123;5555;TRUE
17118;5457;TRUE
17114;4972;TRUE
4404;1488;TRUE
3801;1239;TRUE
3779;1559;TRUE
18271;6701;TRUE
19331;6557;TRUE
15947;5181;TRUE
15464;5730;TRUE
20333;6601;TRUE
20421;6500;TRUE
20646;7179;TRUE
21125;7042;TRUE
23135;7218;TRUE
21733;6976;TRUE
22063;7093;TRUE
21676;7546;TRUE
21467;7823;TRUE
21370;7231;TRUE
21603;7479;TRUE
23165;7175;TRUE
22801;7352;TRUE
12450;3976;TRUE
12342;4431;TRUE
11682;3203;TRUE
12134;4331;TRUE
5387;1678;TRUE
17911;6642;TRUE
17968;6117;TRUE
14656;4032;TRUE
3549;1096;TRUE
17835;6900;TRUE
8218;2047;TRUE
9105;3616;TRUE
10247;3871;TRUE
9076;3059;TRUE
15798;5268;TRUE
7615;2397;TRUE
7337;2897;TRUE
7774;2958;TRUE
17723;6100;TRUE
13634;4475;TRUE
3135;1380;TRUE
14689;4599;TRUE
15390;5657;TRUE
15574;5440;TRUE
6257;2024;TRUE
16637;5686;TRUE
27155;9737;TRUE
23179;6957;TRUE
18722;6567;TRUE
18921;6025;TRUE
26607;9680;TRUE
2279;420;TRUE
28577;9937;TRUE
28094;9673;TRUE
28022;9336;TRUE
24424;8517;TRUE
25946;8113;TRUE
25733;8400;TRUE
24127;8404;TRUE
24216;8733;TRUE
27457;9588;TRUE
28263;8965;TRUE
28388;9238;TRUE
4405;1693;TRUE
17146;5428;TRUE
4110;1174;TRUE
19703;6124;TRUE
21722;7816;TRUE
23292;6972;TRUE
21730;7088;TRUE
22025;6974;TRUE
22142;7930;TRUE
21385;7872;TRUE
23051;7394;TRUE
20356;6272;TRUE
20068;6130;TRUE
21087;7672;TRUE
21230;7053;TRUE
22197;7325;TRUE
25300;7965;TRUE
24756;8325;TRUE
25419;8492;TRUE
18924;6729;TRUE
6452;2226;TRUE
16362;5935;TRUE
16075;5278;TRUE
16114;5269;TRUE
16674;5070;TRUE
16452;5757;TRUE
11006;3312;TRUE
15332;5470;TRUE
15571;5894;TRUE
9057;3049;TRUE
15130;5054;TRUE
15404;5762;TRUE
15190;5854;TRUE
7851;2461;TRUE
4586;1475;TRUE
17709;6758;TRUE
17765;6820;TRUE
3705;1125;TRUE
